COSMETIC_REPORT_SEQ,ITEM_NAME,ENTP_NAME,report_date
2022008091,닥터영유브이케어앤울트라라이트선크림,(주)티디씨,2022-05-04 00:00:00
2022011658,리프원톤업선크림,주식회사 리프원,2022-06-27 00:00:00
2022013750,동안레시피유브이디렉터순한무기자차톤업선크림,주식회사 해그린바이오,2022-07-25 00:00:00
2013003533,비취가인홍윤진미백링클선크림,(주)코리아나화장품,2013-01-21 00:00:00
2013003697,코리아나프리미엄선솔루션쿨링선크림팩트아이알에프25,(주)코리아나화장품,2013-01-21 00:00:00
2023015511,아템포마일드선크림SPF50+PA++++,주식회사한양네트웍스,2023-03-21 00:00:00
2023019093,트루아일랜드알래스카아쿠아히아루론선크림,(주)조이코스,2023-05-04 00:00:00
2023019551,리엑셀멀티선크림,주식회사엘비코스메틱,2023-05-10 00:00:00
2023028465,화윤설모이스처선크림,주식회사 오키,2023-07-20 00:00:00
2023040886,공주스킨비타유브이퍼펙트선크림,필레코리아,2023-12-04 00:00:00
2024001354,줄리안데이유브이프로텍터톤업선크림,주식회사엘비코스메틱,2024-01-10 00:00:00
2024011327,오르띠에매일촉촉순선크림,(주)익성,2024-03-27 00:00:00
2013003882,프로랑스화이트닝선크림,(주)프로랑스화장품,2013-01-21 00:00:00
2013003989,바닐라코헬로써니데이즈선크림,㈜에프앤코,2013-01-21 00:00:00
2013004550,유브이엑스울트라라이트선크림,(주)더샘인터내셔날,2013-01-23 00:00:00
2024016164,케이비바이오할로덤주름개선크림마스크,주식회사케이비바이오,2024-05-07 00:00:00
2024017421,선크림콜마,한국콜마(주),2024-05-13 00:00:00
2013004564,닥터뷰티이온화이트닝알파선크림,(주)더샘인터내셔날,2013-01-23 00:00:00
2013005054,토소웅소프트터치선크림,(주)만통,2013-01-25 00:00:00
2013006392,구달아마조니아아사이베리선크림,(주)클리오,2013-01-30 00:00:00
2024022741,마리글레르선크림,(주)터치미코리아,2024-06-23 00:00:00
2024041841,큐라힐눈편한선크림,주식회사큐라힐바이오,2024-11-08 00:00:00
2024045802,비올레디아실키톤업선크림,(주)이엘뷰티앤바이오,2024-11-20 00:00:00
2025004957,캡슐톤업선크림,하나글로벌,2025-01-23 00:00:00
2025013619,에스터쿱리페어링선크림,(주)셀렉스,2025-02-28 00:00:00
2013006579,한스킨선크림에스피에프50+피에이+++,(주)셀트리온스킨큐어,2013-01-31 00:00:00
2013006938,스킨푸드풋사과워터프루프선크림에스피에프50+피에이+++,주식회사스킨푸드,2013-02-01 00:00:00
2013007249,오션유브이퍼펙트선크림,한국화장품(주),2013-02-01 00:00:00
2025043176,이엘뷰티앤바이오채빛수분톤업선크림,(주)이엘뷰티앤바이오,2025-05-22 00:00:00
2013007271,예화선차윤선크림,한국화장품(주),2013-02-01 00:00:00
2013007286,오션임프루브드선크림,한국화장품(주),2013-02-01 00:00:00
2013007358,산심수백선크림,한국화장품(주),2013-02-01 00:00:00
2025043882,시지에프디톡스톤업선크림에스피에프50+피에이+++,상진화학,2025-05-27 00:00:00
2025043883,케이레시피유브이에이유브이비선크림에스피에프50+피에이+++,상진화학,2025-05-27 00:00:00
2013007410,산심선크림,한국화장품(주),2013-02-01 00:00:00
2013007482,파메스울트라선크림,한국화장품(주),2013-02-01 00:00:00
2013007514,세라케어데일리선크림,세라케어,2013-02-01 00:00:00
2025043915,메딕프로유브이에이유브이비톤업선크림에스피에프50+피에이+++,상진화학,2025-05-27 00:00:00
2025051420,뉴트리퀘스트유브이프로텍터톤업선크림,주식회사엘비코스메틱,2025-07-14 00:00:00
2025058601,공스킨이지에프주름개선크림,(주)나담코스,2025-08-08 00:00:00
2025058604,공스킨콜라겐주름개선크림,(주)나담코스,2025-08-08 00:00:00
2013007532,산심휘백선크림,한국화장품(주),2013-02-01 00:00:00
2013007604,네이처리퍼블릭플레저가든옴므스포츠선크림에스피에프50+피에이+++,(주)네이처리퍼블릭,2013-02-01 00:00:00
2013007880,에이쓰리에프온마일드선크림포키즈,한국화장품(주),2013-02-03 00:00:00
2025058661,공스킨비타민주름개선크림,(주)나담코스,2025-08-08 00:00:00
2025073861,할라비멀티레이어선크림,주식회사엘비코스메틱,2025-09-29 00:00:00
2025074895,바나나보트선크림,한수위 HANSUWI,2025-10-02 00:00:00
2026010356,오레아더마글로우톤업선크림,비코빅,2026-04-13 00:00:00
2013008110,레브쌍내추럴미네랄선크림,보보화장품,2013-02-04 00:00:00
2013008143,니오베더빅터센슈얼옴므선크림에스피에프50+피에이+++,(주)니오베코스메틱,2013-02-04 00:00:00
2013008167,플라워톡스퍼팩트유브이선크림,(주)쿠지인터내셔널,2013-02-04 00:00:00
2013009580,셀라리스퍼펙트선크림에스피에프50+피에이+++,엔프라니주식회사,2013-02-05 00:00:00
2013009624,페리페라아임오케이선크림,(주)클리오,2013-02-06 00:00:00
2013009731,엔프라니프라니엘화이트알엑스선크림에스피에프50+피에이+++,엔프라니주식회사,2013-02-06 00:00:00
2013009847,프라벨선크림,페이스온셀팜,2013-02-06 00:00:00
2013009930,베니넷유브이프로텍티브워터드롭선크림에스피에프40피에이++,아이뷰,2013-02-07 00:00:00
2013010186,스킨아이물방울선크림에스피에프40피에++,스킨아이,2013-02-07 00:00:00
2013010217,골드키위선크림에스피에프50+피에이+++,주식회사스킨푸드,2013-02-08 00:00:00
2013010222,화안애내추럴선크림에스피에프40피에이++,(주)카임화장품,2013-02-08 00:00:00
2013010343,이시오에프리미엄페이스앤드바디선크림,(주)화진화장품,2013-02-08 00:00:00
2013010726,아름다운샘연명현미백선크림,(주)더샘인터내셔날,2013-02-12 00:00:00
2013010727,닥터뷰티셀리뉴선크림,(주)더샘인터내셔날,2013-02-12 00:00:00
2013010772,피씨에이유브이디펜스선크림,(주)라피부,2013-02-12 00:00:00
2013010820,멀티퍼펙트선크림,(주)엔돌핀코스메틱,2013-02-12 00:00:00
2013010873,토마토선크림에스피에프36피에이++,주식회사스킨푸드,2013-02-12 00:00:00
2013011066,라이스앤뷰티선크림,(주)나우코스,2013-02-13 00:00:00
2013011068,듀앤듀화이트페이스선크림,(주)나우코스,2013-02-13 00:00:00
2013011100,인텐시브선크림에스피에프50+피에이+++,(주)나우코스,2013-02-13 00:00:00
2013011108,미니페이스선크림에스피에프50+피에이+++,(주)나우코스,2013-02-13 00:00:00
2013011344,마자린위드캐비어마일드선크림,(주)코스모코스,2013-02-13 00:00:00
2013011631,해피바스비오베베선크림,(주)아모레퍼시픽,2013-02-14 00:00:00
2013011645,아톰미선크림화이트,애터미(주),2013-02-14 00:00:00
2013011650,아톰미선크림,애터미(주),2013-02-14 00:00:00
2013011659,아톰미선크림베이지,애터미(주),2013-02-14 00:00:00
2013011716,더히스토리오브후공진향설미백안색선크림,(주)엘지생활건강,2013-02-14 00:00:00
2013011807,아이오페선크림팩트,(주)아모레퍼시픽,2013-02-15 00:00:00
2013011829,닥터오라클유브이프로텍트선크림,오라클코스메틱(주),2013-02-15 00:00:00
2013011927,효시아화이트큐어빈브라이트닝선크림,(주)아모레퍼시픽,2013-02-15 00:00:00
